#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|                  dieharder_data|  6.70e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.16618608|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.76749259|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.50004683|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.85956702|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.34480768|  PASSED  
        diehard_opso|   0|   2097152|     100|0.27442983|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.62741446|  PASSED  
         diehard_dna|   0|   2097152|     100|0.74738160|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.95079538|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.38224652|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.63965905|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.97700173|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.17097893|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.89889411|  PASSED  
        diehard_sums|   0|       100|     100|0.00008383|   WEAK   
        diehard_runs|   0|    100000|     100|0.99021979|  PASSED  
        diehard_runs|   0|    100000|     100|0.34342598|  PASSED  
       diehard_craps|   0|    200000|     100|0.23933482|  PASSED  
       diehard_craps|   0|    200000|     100|0.72121039|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.73405210|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.10124971|  PASSED  
         sts_monobit|   1|    100000|     100|0.27638773|  PASSED  
            sts_runs|   2|    100000|     100|0.39103230|  PASSED  
          sts_serial|   1|    100000|     100|0.83100230|  PASSED  
          sts_serial|   2|    100000|     100|0.32055227|  PASSED  
          sts_serial|   3|    100000|     100|0.98932414|  PASSED  
          sts_serial|   3|    100000|     100|0.31099789|  PASSED  
          sts_serial|   4|    100000|     100|0.64632925|  PASSED  
          sts_serial|   4|    100000|     100|0.06081137|  PASSED  
          sts_serial|   5|    100000|     100|0.89330355|  PASSED  
          sts_serial|   5|    100000|     100|0.69483844|  PASSED  
          sts_serial|   6|    100000|     100|0.48194775|  PASSED  
          sts_serial|   6|    100000|     100|0.52434986|  PASSED  
          sts_serial|   7|    100000|     100|0.89494726|  PASSED  
          sts_serial|   7|    100000|     100|0.37705727|  PASSED  
          sts_serial|   8|    100000|     100|0.63193793|  PASSED  
          sts_serial|   8|    100000|     100|0.82929036|  PASSED  
          sts_serial|   9|    100000|     100|0.87560695|  PASSED  
          sts_serial|   9|    100000|     100|0.43492641|  PASSED  
          sts_serial|  10|    100000|     100|0.18370354|  PASSED  
          sts_serial|  10|    100000|     100|0.14517124|  PASSED  
          sts_serial|  11|    100000|     100|0.74553168|  PASSED  
          sts_serial|  11|    100000|     100|0.68290249|  PASSED  
          sts_serial|  12|    100000|     100|0.59142710|  PASSED  
          sts_serial|  12|    100000|     100|0.70330230|  PASSED  
          sts_serial|  13|    100000|     100|0.96528976|  PASSED  
          sts_serial|  13|    100000|     100|0.98029057|  PASSED  
          sts_serial|  14|    100000|     100|0.92540090|  PASSED  
          sts_serial|  14|    100000|     100|0.88829143|  PASSED  
          sts_serial|  15|    100000|     100|0.30459450|  PASSED  
          sts_serial|  15|    100000|     100|0.64514795|  PASSED  
          sts_serial|  16|    100000|     100|0.99003821|  PASSED  
          sts_serial|  16|    100000|     100|0.53466915|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.08599118|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.99897323|   WEAK   
         rgb_bitdist|   3|    100000|     100|0.41483385|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.22640205|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.82541752|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.85132764|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.70707126|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.45852757|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.80680600|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.19680313|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.14595701|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.78307117|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.75438837|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.68878922|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.95513316|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.63410169|  PASSED  
    rgb_permutations|   2|    100000|     100|0.33311153|  PASSED  
    rgb_permutations|   3|    100000|     100|0.98186798|  PASSED  
    rgb_permutations|   4|    100000|     100|0.86889724|  PASSED  
    rgb_permutations|   5|    100000|     100|0.74143421|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.47221063|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.80193834|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.99004589|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.82026523|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.23915962|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.96955279|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.86403877|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.93436546|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.63307168|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.06436499|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.65271112|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.79714816|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.95159221|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.32225915|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.38707292|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.85958023|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.97583616|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.48333387|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.83536310|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.38968108|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.99108183|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.17868611|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.50959531|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.86045479|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.66486668|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.82291666|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.70598342|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.99244119|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.04957280|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.33917823|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.52453571|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.12801715|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.79331626|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.71343174|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.35944573|  PASSED  
             dab_dct| 256|     50000|       1|0.48747123|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.46860003|  PASSED  
        dab_filltree|  32|  15000000|       1|0.81646737|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.51578615|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.51745689|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.76377221|  PASSED  
